content,score
"Sering banget eror, sering banget perbaikan dan lain2, di buka lemot banget padahal sinyal bagus dan stabil. Saat ada transaksi penting dan mendadak malah tidak bisa di pakai. Mending wonder aja yg di hapus min daripada bni mobile banking, masih mending aplikasi yg sebelum nya.",1
"Kenapa data yg kita masukkan gak ter save. Setiap kita mau transaksi / token pln dll harus input lagi nomornya...yg di app BNI kemarin enak, semua bisa disimpan, ketika mau bayar tingal cari aj....mohon di perbaiki. Terimakasih",1
"Terimakasih sudah ada menu total pengeluaran/pemasukan secara detail, namun mohon riwayat transaksi disertakan saldo pertransaksi (seperti pada aplikasi sebelumnya) sehingga mudah memantau saldonya. Bintang 5 kalau itu ada.",4
"Baru download karena disarankan cs bank, pada saat awal log in itu aman. Namun satu jam kemudian saat saya ingin pakai entah kenapa masuk ke syarat dan ketentuan lagi, saya sudah centang setuju semua lalu muncul tulisan sesi telah berakhir harap log in kembali. Tapi untuk log in saja tidak bisa dikarenakan untuk menu syarat dan ketentuan otomatis muncul kembali saat membuka aplikasi, sudah hapus data tetap tidak bisa, sudah install ulang tetap tidak bisa terjadi hal yg sama. Sangat tidak bagus.",1
"Nah suruh migrasi tapi belum siap, tarik tunai ATM, pembayaran menggunakan QRIS, isi E-wallet dengan nominal diatas 2juta juga tidak bisa, tampilan juga lebih simple yang BNI mobile banking.. Terlalu banyak menu jendela untuk 1 menu. Perbaiki segera buat susah kami pengguna!",1
"Ni aplikasi perlu dipertanyakan kegunaannya sangkin byknya masalah mulai dari ketentuan, koneksi, menu byk dan ribet kok rasanya lebih bagus yang lama dari pada yang sekarang dan saat membaca semua ketentuannya kok serasa dipaksa menerimanya meskipun kita tidak ingin itu dan yang paling menjengkelkan adalah saat mendadak justru aplikasinya tidak bisa berguna",1
"Aplikasi nya selalu bermasalah. Sering mengalami perbaikan. Karena perbaikan jadi ga bisa pakai qris. Buat malu-maluin ketika beli makanan, makanan udah disiapkan lalu mau bayar qris nya gabisa karena ada perbaikan. Kan buat malu!!! Sok-sokan mau buat m-banking bagus tapi belum siap!",1
Kok gini sich. Ada yang transfer katanya sudah berhasil akan tetapi gak keluar kertas print di ATM. Aku coba lacak melalui aplikasi belum masuk belum ada laporan riwayatnya. Alias lambat. Ditqmbah setiap mau masuk aplikasi muter2 lama. Lemot banget si. Tolong lbh diperbaiki. Jangan mengecewakan customer,1
"🎵 Untungnya… wondr bikin hidup Susah! 🎵 Tolong pihak BNI saya transaksi transfer ke bank lain, saldo sudah terpotong & uang belum masuk di rekening tujuan, padahal keterangan berhasil!!! Ini sangat merugikan khususnya dikala emergenci 👎",1
"Baru install, kemudian daftar, beres, berhasil. Logout aplikasi. Mau coba login lagi lah kok ga bisa malah ke halaman persetujuan penggunaan aplikasi lagi pas daftar. Dicentangin notif sesi sudah selesai dan diinstruksikan login tp aplikasi ga ke halaman login tetap ke halaman pendaftaran. Bagaimana ini? Mobile banking ga bisa kepakai, wondr juga ga bisa. Ribet.",3
